Time,Monday,,,,Tuesday,,,,Wednesday,,,,Thursday,,,,Friday,,,,Saturday,,,,Sunday,,,,Time,Monday,,,,Tuesday,,,,Wednesday,,,,Thursday,,,,Friday,,,,Saturday,,,,Sunday,,,,Time,Monday,,,,Tuesday,,,,Wednesday,,,,Thursday,,,,Friday,,,,Saturday,,,,Sunday,,,,Time,Monday,,,,Tuesday,,,,Wednesday,,,,Thursday,,,,Friday,,,,Saturday,,,,Sunday,,,
,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy,Location,Location Code,Miles,Energy
00:00,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,00:00,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,00:00,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,00:00,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,
00:30,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,00:30,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,00:30,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,00:30,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,
01:00,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,01:00,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,01:00,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,01:00,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,
01:30,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,01:30,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,01:30,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,01:30,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,
02:00,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,02:00,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,02:00,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,02:00,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,
02:30,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,02:30,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,02:30,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,02:30,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,
03:00,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,03:00,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,03:00,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,03:00,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,
03:30,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,03:30,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,03:30,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,03:30,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,
04:00,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,04:00,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,04:00,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,Home ,0,0,,04:00,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,,Home,0,0,
